# {"coordinate_unit":"bohr","format":"chemblender_grid_sample","grid_id":"9f539ed5-4473-42ac-ad09-c37c648f501a","grid_origin":[-6.130000114440918,-5.869999885559082,-6.070000171661377],"grid_revision":"ac799fc1e2c9555bb062d6910905bc6eb1f8c0e8363b58d2c6039a3f6dbcab1e","grid_shape":[45,45,45],"grid_step_vectors":[[0.2800000011920929,0.0,0.0],[0.0,0.2800000011920929,0.0],[0.0,0.0,0.2800000011920929]],"kind":"plane","provenance_ids":["9a43ce0f-c6fb-4ed7-a8c3-7d6072f169ab"],"sampling":{"counts":[97,97],"dataset_index":0,"origin":[-4.5,0.13,-4.5],"u_vector":[9.0,0.0,0.0],"v_vector":[0.0,0.0,9.0]},"semantic_role":"electrostatic_potential","source_calculation":null,"structure_id":"9a20aa19-f6e3-41a3-9c23-0fc2f631990b","value_unit":"hartree_per_elementary_charge","version":1}
x,y,z,distance,value,valid_mask,coordinate_unit,value_unit
-4.3125,0.13,-1.40625,,-0.028931244163055349,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-1.3125000000000004,,-0.029085365454767316,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-1.21875,,-0.029125358040654161,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-1.125,,-0.029162224007224846,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-1.0312500000000004,,-0.029199089973795535,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-0.9375,,-0.029105983627261016,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-0.84375,,-0.029011121112020827,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-0.75000000000000044,,-0.028916258374884166,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-0.65625,,-0.028681790673485644,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-0.5625,,-0.028447322972087116,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-0.46875,,-0.028210998743786169,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-0.375,,-0.027837307988614061,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-0.28125,,-0.027463617233441956,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-0.1875,,-0.027086460688172082,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-0.09375,,-0.026582810426584984,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,0,,-0.026079160164997884,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,0.09375,,-0.025571011850245913,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,0.18749999999999911,,-0.024954914620540107,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,0.28125,,-0.024338817390834287,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,0.375,,-0.023718002007529149,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,0.46874999999999911,,-0.023013441949868822,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,0.5625,,-0.022308881892208483,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,0.65625,,-0.021600286286325217,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,0.74999999999999911,,-0.020835194390784784,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,0.84375,,-0.020070102495244341,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,0.9375,,-0.019302498757800036,1,bohr,hartree_per_elementary_charge
